atm_inventario_año;atm_inventario_sector_GNFR;atm_inventario_sector_NFR;atm_inventario_actividad_NFR;atm_inventario_contaminante;atm_inventario_cantidad_kt
1991;C. Otra combustión estacionaria;NFR 1: Energía;1A4b  Residencial;COVNM;1,966156112
1991;E. Disolventes;NFR 2: Procesos industriales y uso de productos (IPPU);2D3d  Aplicaciones de recubrimiento;COVNM;20,770654729
1991;E. Disolventes;NFR 2: Procesos industriales y uso de productos (IPPU);2G  Otros productos minerales;SO2;0,000735646
1991;I. Otros medios de transporte;NFR 1: Energía;1A2g  Otros sectores;CO;0,481840485
1991;I. Otros medios de transporte;NFR 1: Energía;1A4c  Agricultura/Silvicultura/Pesca;CO;0,384693517
1991;J. Residuos;NFR 5: Residuos;5A Tratamiento biológico de residuos (disposición de residuos sólidos en tierra);COVNM;0,454634665
1991;J. Residuos;NFR 5: Residuos;5D1  Tratamiento y eliminación de aguas residuales domésticas;CO;0,004200683
1991;K. Ganadería;NFR 3: Agricultura;3B1a  Manejo del estiércol - Ganado lechero;NOX;0,013030914
1991;K. Ganadería;NFR 3: Agricultura;3B4d  Manejo del estiércol - Cabras;NH3;0,002814288
1991;K. Ganadería;NFR 3: Agricultura;3B4g  Manejo del estiércol - Gallinas ponedoras;COVNM;0,062031466
1991;L. Otros agricultura;NFR 3: Agricultura;3De  Cultivos;COVNM;0,047140042
1992;B. Industria;NFR 1: Energía;1A1c  Fabricación de combustibles sólidos y otras industrias energéticas;NOX;0,000994582
1992;B. Industria;NFR 1: Energía;1A2c  Productos químicos;CO;0,518530866
1992;B. Industria;NFR 1: Energía;1A2e  Procesado de alimentos, bebidas y tabaco;NH3;0,000011639
1992;B. Industria;NFR 1: Energía;1A2g  Otros sectores;COVNM;1,0349734864
1992;B. Industria;NFR 2: Procesos industriales y uso de productos (IPPU);2D3c  Techos de asfalto;COVNM;0,001327711
