_id,ANO,TIPO,ORGANISMO,POBLACION,ENTIDAD,AREA DE GASTO,POLITICA DE GASTO,GRUPO DE PROGRAMAS,PROGRAMAS,SUBPROGRAMAS,CLAS. ECONOMICA,CREDITOS INICIALES,CREDITOS DEFINITIVOS,EJECUTADO,PAGADO,PAGADO EJERCICIO CERRADO
300,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,5 - INGRESOS PATRIMONIALES,53 - Dividendos y participación beneficios,531 - De Organismos Autónomos y agencias,s/i,0,0,0,0,0
310,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,II - Ingresos de capital,6 - ENAJENACIÓN DE INVERSIONES REALES,60 - De terrenos,601 - Venta de fincas rústicas,s/i,0,0,0,0,0
320,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,5 - INGRESOS PATRIMONIALES,55 - Productos de concesiones y aprovechamientos especiales,552 - Derecho de superficie con contraprestación periódica,s/i,0,0,0,0,0
330,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,5 - INGRESOS PATRIMONIALES,59 - Otros ingresos patrimoniales,592 - Ingresos por operaciones de intercambio financiero,s/i,0,0,0,0,0
340,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,2 - IMPUESTOS INDIRECTOS,28 - Impuestos indirectos extinguidos,280 - Impuestos indirectos extinguidos,s/i,0,0,0,0,0
350,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32 - Tasas por la realización de actividades de competencia local,323 - Tasas por otros servicios urbanísticos,s/i,0,0,0,0,0
360,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32 - Tasas por la realización de actividades de competencia local,324 - Tasas sobre el juego,s/i,0,0,0,0,0
370,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,2 - IMPUESTOS INDIRECTOS,27 - Recargos sobre impuestos indirectos de otros entes locales,270 - Sobre impuestos de otros entes locales,s/i,0,0,0,0,0
380,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,II - Ingresos de capital,6 - ENAJENACIÓN DE INVERSIONES REALES,68 - Reintegros por operaciones de capital,680 - De ejercicios cerrados,s/i,0,0,0,0,0
390,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,4 - TRANSFERENCIAS CORRIENTES,49 - Del exterior,495 - Del FEOGA-Orientación,s/i,0,0,0,0,0
400,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,II - Ingresos financieros,III - Ingresos financieros,9 - PASIVOS FINANCIEROS,94 - Depósitos y fianzas recibidos,940 - Depósitos recibidos,s/i,0,0,0,0,0
410,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,1 - IMPUESTOS DIRECTOS,19 - Otros impuestos directos,190 - Otros impuestos directos extinguidos,s/i,0,0,0,0,0
