inventario_gei_año;inventario_gei_sector_CRF;inventario_gei_categoria_CRF;inventario_gei_actividad_CRF;inventario_gei_contaminante;inventario_gei_Gg_CO2_eq
1995;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.E. Asentamientos;4E21 Tierras forestales convertidas en asentamientos;CO2;8,6837104678
1995;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.F. Otras tierras;4F25 Asentamientos convertidos en otras tierras;CO2;0,0
1995;CRF 5 Residuos;5.C. Incineración y quema en espacio abierto de residuos sólidos;5C22 Quema abierta de residuos no biogénicos;N2O;0,006774725
1996;CRF 1 Energía;1.A. Actividades de combustión;1A1c  Fabricación de combustibles sólidos y otras industrias energéticas;N2O;0,0071073
1996;CRF 1 Energía;1.A. Actividades de combustión;1A2d Pasta de papel, papel e impresión;CH4;5,336976792
1996;CRF 1 Energía;1.A. Actividades de combustión;1A2g Otros sectores;CO2;582,257262
1996;CRF 1 Energía;1.A. Actividades de combustión;1A3c Transporte por ferrocarril;CO2;19,058113
1996;CRF 1 Energía;1.A. Actividades de combustión;1A4c Agricultura/Pesca/Forestal;N2O;0,76169692
1996;CRF 2 Procesos industriales y uso de productos;2.A. Productos minerales;2A3 Producción de vidrio;CO2;7,036648
1996;CRF 2 Procesos industriales y uso de productos;2.F. Consumo de gases fluorados;2F1b Refrigeración doméstica;HFC;0,2283012017
1996;CRF 2 Procesos industriales y uso de productos;2.F. Consumo de gases fluorados;2F3a Protección contra incendios/Fabricación;HFC;0,0054092396
1996;CRF 2 Procesos industriales y uso de productos;2.G. Otras fuentes de emisión de procesos industriales;2G3b Propulsor para para productos a presión y aerosoles;N2O;0,130456585
